uniprot_id,name,length,organism,in_alphafold,downloaded
A0A023HT57,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Corethron sp. 1BOF,True,True
A0A023HT58,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Ditylum sp. 1 SEH-2013,True,True
A0A023HT59,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Fragilaria sp. 1BOF,True,True
A0A023HT60,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HT61,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HT62,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Coscinodiscus wailesii,True,True
A0A023HT63,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HT66,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Cylindrotheca sp. 3BOF,True,True
A0A023HT68,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Lauderia sp. 1BOF,True,True
A0A023HT70,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Leptocylindrus danicus,True,True
A0A023HT71,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Ditylum brightwellii,True,True
A0A023HT73,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Ditylum sp. 1BOF,True,True
A0A023HT74,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Fragilaria sp. 2BOF,True,True
A0A023HT77,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,240,Odontella sp. 1BOF,True,True
A0A023HT81,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,257,Odontella sp. 2BOF,True,True
A0A023HT82,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HT84,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HT87,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Mediopyxis sp. 1BOF,True,True
A0A023HT90,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Melosira sp. 2BOF,True,True
A0A023HT96,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Odontella sp. 1BOF,True,True
A0A023HT98,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,249,Stephanodiscus sp. 1BOF,True,True
A0A023HTA1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Phaeodactylum tricornutum,True,True
A0A023HTA2,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassionema sp. 2BOF,True,True
A0A023HTA5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Pseudo-nitzschia sp. 3BOF,True,True
A0A023HTA6,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassiosira sp. 14BOF,True,True
A0A023HTA8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassiosira sp. 1BOF,True,True
A0A023HTB1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassionema sp. 1BOF,True,True
A0A023HTB4,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassiosira sp. 10BOF,True,True
A0A023HTB5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,238,Asterionellopsis glacialis,True,True
A0A023HTD0,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Chaetoceros sp. 17BOF,True,True
A0A023HTD9,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Coscinodiscus wailesii,True,True
A0A023HTE8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Detonula confervacea,True,True
A0A023HTF2,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,229,Detonula confervacea,True,True
A0A023HTF7,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,231,Eucampia zodiacus,True,True
A0A023HTG1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Helicotheca sp. 1BOF,True,True
A0A023HTG5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTH5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,249,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTH8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Asterionellopsis glacialis,True,True
A0A023HTI6,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Melosira sp. 1BOF,True,True
A0A023HTK1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Odontella sp. 2BOF,True,True
A0A023HTK5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Odontella sp. 3BOF,True,True
A0A023HTL1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Pseudo-nitzschia sp. 2BOF,True,True
A0A023HTL3,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Rhizosolenia sp. 1BOF,True,True
A0A023HTM1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Stephanodiscus sp. 1BOF,True,True
A0A023HTM2,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Chaetoceros sp. 14BOF,True,True
A0A023HTM9,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassiosira sp. 12BOF,True,True
A0A023HTN2,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Cylindrotheca sp. 1BOF,True,True
A0A023HTN4,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Detonula confervacea,True,True
A0A023HTN7,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Gyrosigma sp. 1BOF,True,True
A0A023HTN8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,241,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTN9,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTP0,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTP1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,257,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTP2,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Lauderia sp. 1 SEH-2013,True,True
A0A023HTQ5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Pseudo-nitzschia sp. 1BOF,True,True
A0A023HTQ7,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Pseudo-nitzschia sp. 5BOF,True,True
A0A023HTR6,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassionema sp. 2BOF,False,False
A0A023HTR8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassionema sp. 3BOF,True,True
A0A023HTS0,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassiosira sp. 11BOF,True,True
A0A023HTS1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassiosira sp. 16BOF,True,True
A0A023HTV8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Actinoptychus senarius,True,True
A0A023HTW4,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,253,Bacillariophyceae sp. 1 SEH-2013,True,True
A0A023HTW7,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,246,Cylindrotheca sp. 1BOF,True,True
A0A023HTX1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Eucampia zodiacus,True,True
A0A023HTX3,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTX5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTX6,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Heterokontophyta sp. 1 SEH-2013,True,True
A0A023HTX8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Leptocylindrus danicus,False,False
A0A023HTX9,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Melosira sp. 1 SEH-2013,False,False
A0A023HTY0,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Nitzschia sp. 1BOF,True,True
A0A023HTY3,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,249,Odontella sp. 2BOF,True,True
A0A023HTY7,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Pseudo-nitzschia sp. 4BOF,True,True
A0A023HTY9,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Skeletonema sp. 1BOF,True,True
A0A023HTZ5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,259,Thalassiosira sp. 15BOF,True,True
A0A023HTZ6,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,249,Thalassiosira sp. 1BOF,True,True
A0A023I2J6,Ribulose bisphosphate carboxylase large chain,475,Vicia faba,True,True
A0A023I3L0,Ribulose bisphosphate carboxylase large chain,452,Chondrus crispus,True,True
A0A023I3L2,Ribulose bisphosphate carboxylase large chain,452,Hennedya crispa,True,True
A0A023I3L5,Ribulose bisphosphate carboxylase large chain,452,Mychodeophyllum papillitectum,True,True
A0A023I3L7,Ribulose bisphosphate carboxylase large chain,452,Meristotheca procumbens,True,True
A0A023I3N5,Ribulose bisphosphate carboxylase large chain,452,Crebradomus gongylocarpus,True,True
A0A023I3N7,Ribulose bisphosphate carboxylase large chain,452,Dissimularia dactylocarpa,True,True
A0A023I3N9,Ribulose bisphosphate carboxylase large chain,452,Dissimularia withallii,True,True
A0A023I3P2,Ribulose bisphosphate carboxylase large chain,452,Gigartinales sp. 1 GWS-2013,True,True
A0A023I3U1,Ribulose bisphosphate carboxylase large chain,452,Austroclonium charoides,True,True
A0A023I3U2,Ribulose bisphosphate carboxylase large chain,452,Mychodea pusilla,True,True
A0A023I3U3,Ribulose bisphosphate carboxylase large chain,452,Rhodophyllis multipartita,True,True
A0A023I431,Ribulose bisphosphate carboxylase large chain,452,Sarcodiotheca sp. 1gaudichaudii,True,True
A0A023I433,Ribulose bisphosphate carboxylase large chain,452,Dissimularia umbraticola,True,True
A0A023I437,Ribulose bisphosphate carboxylase large chain,452,Endocladia muricata,True,True
A0A023I4C1,Ribulose bisphosphate carboxylase large chain,452,Erythroclonium sp. 1angustatum,True,True
A0A023I4C2,Ribulose bisphosphate carboxylase large chain,452,Gigartinales sp. 6 GWS-2013,True,True
A0A023I4C3,Ribulose bisphosphate carboxylase large chain,450,Calliblepharis jubata,True,True
A0A023I4P1,Ribulose bisphosphate carboxylase large chain,432,Ulvella bullata,True,True
A0A023I4P7,Ribulose bisphosphate carboxylase large chain,184,Persicaria glabra,True,True
A0A023I4S7,Ribulose bisphosphate carboxylase large chain,88,Persicaria chinensis,True,True
A0A023I518,Ribulose bisphosphate carboxylase large chain,87,Koenigia mollis,True,True
A0A023I6Q0,Ribulose bisphosphate carboxylase large chain,475,Glycyrrhiza glabra,True,True
A0A023IMK6,Ribulose bisphosphate carboxylase large chain,452,Glaphyrymenia sp. 1WA,True,True
A0A023IMK7,Ribulose bisphosphate carboxylase large chain,452,Meredithia norfolkensis,True,True
A0A023IMK8,Ribulose bisphosphate carboxylase large chain,452,Kallymenia sp. 5LH,True,True
A0A023IMK9,Ribulose bisphosphate carboxylase large chain,452,Croisettea australis,True,True
A0A023IML0,Ribulose bisphosphate carboxylase large chain,452,Austrokallymenia cribrogloea,True,True
A0A023IML4,Ribulose bisphosphate carboxylase large chain,452,Kallymenia sp. 4tasmanica,True,True
A0A023IML5,Ribulose bisphosphate carboxylase large chain,452,Kallymenia sp. 1LH,True,True
A0A023IML6,Ribulose bisphosphate carboxylase large chain,452,Euthora cristata,True,True
A0A023IML8,Ribulose bisphosphate carboxylase large chain,452,Kallymenia sp. 2tasmanica,True,True
A0A023IMM0,Ribulose bisphosphate carboxylase large chain,452,Austrophyllis alcicornis,True,True
A0A023IMM2,Ribulose bisphosphate carboxylase large chain,452,Kallymenia reniformis,True,True
A0A023IMT2,Ribulose bisphosphate carboxylase large chain,452,Metacallophyllis laciniata,True,True
A0A023IMT3,Ribulose bisphosphate carboxylase large chain,452,Austrokallymenia rebeccae,True,True
A0A023IMT4,Ribulose bisphosphate carboxylase large chain,452,Leiomenia cribrosa,True,True
A0A023IMT5,Ribulose bisphosphate carboxylase large chain,452,Polycoelia laciniata,True,True
A0A023IMT6,Ribulose bisphosphate carboxylase large chain,452,Glaphyrymenia pustulosa,True,True
A0A023IMX0,Ribulose bisphosphate carboxylase large chain,452,Callophyllis variegata,True,True
A0A023IMX1,Ribulose bisphosphate carboxylase large chain,452,Meredithia nutleorum,True,True
A0A023IMX2,Ribulose bisphosphate carboxylase large chain,452,Erythrophyllum delesserioides,True,True
A0A023IMX3,Ribulose bisphosphate carboxylase large chain,446,Stauromenia lacerata,True,True
A0A023IMX4,Ribulose bisphosphate carboxylase large chain,452,Meredithia pseudopeltata,True,True
A0A023IMX5,Ribulose bisphosphate carboxylase large chain,452,Kallymenia sp. 4LH,True,True
A0A023IN09,Ribulose bisphosphate carboxylase large chain,452,Kallymenia sp. 1tasmanica,True,True
A0A023IN10,Ribulose bisphosphate carboxylase large chain,452,Rhipidomenia polycoelioides,True,True
A0A023IN11,Ribulose bisphosphate carboxylase large chain,452,Pugetia sp. 1Aus,True,True
A0A023IN12,Ribulose bisphosphate carboxylase large chain,452,Kallymenia sp. 2LH,True,True
A0A023INB0,Ribulose bisphosphate carboxylase large chain,475,Lens culinaris,True,True
A0A023J7Y1,Ribulose bisphosphate carboxylase large chain,480,Japonolirion osense,True,True
A0A023JCK0,Ribulose bisphosphate carboxylase large chain,203,Memecylon wightii,True,True
A0A023JEF9,Ribulose bisphosphate carboxylase large chain,490,Eunotia naegelii,True,True
A0A023JLY9,Ribulose bisphosphate carboxylase large chain,452,Androcymbium dregei,True,True
A0A023JLZ0,Ribulose bisphosphate carboxylase large chain,452,Androcymbium striatum,True,True
A0A023JLZ1,Ribulose bisphosphate carboxylase large chain,452,Colchicum bornmuelleri,True,True
A0A023JLZ2,Ribulose bisphosphate carboxylase large chain,452,Hexacyrtis dickiana,True,True
A0A023JLZ3,Ribulose bisphosphate carboxylase large chain,444,Ornithoglossum undulatum,True,True
A0A023JLZ4,Ribulose bisphosphate carboxylase large chain,452,Uvularia grandiflora,True,True
A0A023JLZ5,Ribulose bisphosphate carboxylase large chain,446,Wurmbea dioica subsp. dioica,True,True
A0A023JLZ6,Ribulose bisphosphate carboxylase large chain,452,Wurmbea marginata,True,True
A0A023JLZ7,Ribulose bisphosphate carboxylase large chain,430,Lilium distichum,True,True
A0A023JLZ8,Ribulose bisphosphate carboxylase large chain,452,Smilax sieboldii,True,True
A0A023JM10,Ribulose bisphosphate carboxylase large chain,452,Androcymbium cruciatum,True,True
A0A023JM11,Ribulose bisphosphate carboxylase large chain,452,Androcymbium scabromarginatum,True,True
A0A023JM12,Ribulose bisphosphate carboxylase large chain,452,Camptorrhiza strumosa,True,True
A0A023JM13,Ribulose bisphosphate carboxylase large chain,452,Gloriosa superba,True,True
A0A023JM14,Ribulose bisphosphate carboxylase large chain,452,Wurmbea triquetra,True,True
A0A023JM15,Ribulose bisphosphate carboxylase large chain,452,Tripladenia cunninghamii,True,True
A0A023JM16,Ribulose bisphosphate carboxylase large chain,452,Wurmbea biglandulosa,True,True
A0A023JM17,Ribulose bisphosphate carboxylase large chain,452,Wurmbea latifolia subsp. vanessae,True,True
A0A023JM18,Ribulose bisphosphate carboxylase large chain,452,Luzuriaga radicans,True,True
A0A023JM19,Ribulose bisphosphate carboxylase large chain,444,Smilax riparia,True,True
A0A023JM31,Ribulose bisphosphate carboxylase large chain,452,Androcymbium circinatum,True,True
A0A023JM32,Ribulose bisphosphate carboxylase large chain,452,Androcymbium longipes,True,True
A0A023JM33,Ribulose bisphosphate carboxylase large chain,445,Burchardia rosea,True,True
A0A023JM34,Ribulose bisphosphate carboxylase large chain,452,Disporum viridescens,True,True
A0A023JM35,Ribulose bisphosphate carboxylase large chain,444,Colchicum montanum,True,True
A0A023JM36,Ribulose bisphosphate carboxylase large chain,452,Sandersonia aurantiaca,True,True
A0A023JM37,Ribulose bisphosphate carboxylase large chain,452,Wurmbea biglandulosa,True,True
A0A023JM38,Ribulose bisphosphate carboxylase large chain,448,Wurmbea kraussii,True,True
A0A023JM39,Ribulose bisphosphate carboxylase large chain,452,Wurmbea spicata,True,True
A0A023JM40,Ribulose bisphosphate carboxylase large chain,452,Ripogonum papuanum,False,False
A0A023JM42,Ribulose bisphosphate carboxylase large chain,452,Androcymbium bellum,True,True
A0A023JM45,Ribulose bisphosphate carboxylase large chain,445,Androcymbium eucomoides,True,True
A0A023JM47,Ribulose bisphosphate carboxylase large chain,452,Burchardia congesta,True,True
A0A023JM49,Ribulose bisphosphate carboxylase large chain,444,Colchicum speciosum,True,True
A0A023JM51,Ribulose bisphosphate carboxylase large chain,450,Iphigenia indica,True,True
A0A023JM53,Ribulose bisphosphate carboxylase large chain,452,Ornithoglossum vulgare,True,True
A0A023JM55,Ribulose bisphosphate carboxylase large chain,452,Uvularia perfoliata,True,True
A0A023JM57,Ribulose bisphosphate carboxylase large chain,446,Wurmbea dioica subsp. alba,True,True
A0A023JM59,Ribulose bisphosphate carboxylase large chain,452,Wurmbea monantha,True,True
A0A023JM61,Ribulose bisphosphate carboxylase large chain,411,Lilium hansonii,True,True
A0A023JM62,Ribulose bisphosphate carboxylase large chain,452,Lapageria rosea,True,True
A0A023JM80,Ribulose bisphosphate carboxylase large chain,452,Androcymbium ciliolatum,True,True
A0A023JM81,Ribulose bisphosphate carboxylase large chain,446,Androcymbium europaeum,True,True
A0A023JM83,Ribulose bisphosphate carboxylase large chain,451,Burchardia multiflora,True,True
A0A023JM84,Ribulose bisphosphate carboxylase large chain,437,Disporum sessile,True,True
A0A023JM86,Ribulose bisphosphate carboxylase large chain,452,Gloriosa modesta,True,True
A0A023JM87,Ribulose bisphosphate carboxylase large chain,452,Ornithoglossum zeyheri,True,True
A0A023JM89,Ribulose bisphosphate carboxylase large chain,452,Uvularia sessilifolia,True,True
A0A023JM90,Ribulose bisphosphate carboxylase large chain,448,Wurmbea dioica subsp. brevifolia,True,True
A0A023JM91,Ribulose bisphosphate carboxylase large chain,452,Wurmbea pygmaea,True,True
A0A023JM92,Ribulose bisphosphate carboxylase large chain,437,Amana edulis,True,True
A0A023JMK6,Ribulose bisphosphate carboxylase large chain,394,Polystichum rapense,False,False
A0A023M633,Ribulose bisphosphate carboxylase large chain,442,Nannochloropsis oceanica,True,True
A0A023M644,Ribulose bisphosphate carboxylase large chain,201,Comastoma pedunculatum,True,True
A0A023M645,Ribulose bisphosphate carboxylase large chain,201,Gentianella azurea,True,True
A0A023M646,Ribulose bisphosphate carboxylase large chain,201,Gentianopsis contorta,True,True
A0A023M655,Ribulose bisphosphate carboxylase large chain,201,Halenia elliptica,True,True
A0A023M656,Ribulose bisphosphate carboxylase large chain,201,Swertia alba,True,True
A0A023M657,Ribulose bisphosphate carboxylase large chain,201,Swertia leducii,True,True
A0A023M664,Ribulose bisphosphate carboxylase large chain,201,Lomatogonium carinthiacum,True,True
A0A023M665,Ribulose bisphosphate carboxylase large chain,201,Swertia decora,True,True
A0A023M671,Ribulose bisphosphate carboxylase large chain,201,Gentianella gentianoides,True,True
A0A023M673,Ribulose bisphosphate carboxylase large chain,201,Lomatogonium rotatum,True,True
A0A023M674,Ribulose bisphosphate carboxylase large chain,201,Swertia macrosperma,True,True
A0A023M677,Ribulose bisphosphate carboxylase large chain,201,Comastoma falcatum,True,True
A0A023M678,Ribulose bisphosphate carboxylase large chain,201,Comastoma traillianum,True,True
A0A023M679,Ribulose bisphosphate carboxylase large chain,201,Gentianopsis barbata,True,True
A0A023M680,Ribulose bisphosphate carboxylase large chain,201,Gentianopsis paludosa,True,True
A0A023M6P0,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1629,True,True
A0A023M6P3,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1623,True,True
A0A023M6P6,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1650,True,True
A0A023M6P9,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1648,True,True
A0A023M6Q2,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1619,True,True
A0A023M731,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1625,True,True
A0A023M733,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1621,True,True
A0A023M737,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1646,True,True
A0A023M741,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1641,True,True
A0A023M745,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1654,True,True
A0A023M863,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1622,True,True
A0A023M870,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1626,True,True
A0A023M875,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1657,True,True
A0A023M880,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1642,True,True
A0A023M886,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1653,True,True
A0A023M8C9,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1624,True,True
A0A023M8D3,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1601,True,True
A0A023M8D8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1635,True,True
A0A023M8E2,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1649,True,True
A0A023M8E6,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1643,True,True
A0A023M8Q1,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1620,True,True
A0A023M8Q5,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1628,True,True
A0A023M8Q8,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1645,True,True
A0A023M8R2,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,72,Dolichospermum flos-aquae CHAB1644,True,True
